date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity
2019-06-21,2019,6,21,chokepoint6,Strait of Hormuz,18,18,3,3,53,42,95,803255,458823,45680,11900,2732664,1319659,4052324
2019-06-22,2019,6,22,chokepoint6,Strait of Hormuz,15,16,6,2,52,39,91,551493,631764,78881,2577,1756216,1264716,3020932
2019-06-23,2019,6,23,chokepoint6,Strait of Hormuz,9,11,2,1,39,23,62,406361,436969,17368,0,2352179,860698,3212877
2019-06-24,2019,6,24,chokepoint6,Strait of Hormuz,15,16,3,4,79,38,117,640796,511050,3389,6990,3048981,1162227,4211209
2019-06-25,2019,6,25,chokepoint6,Strait of Hormuz,16,12,4,1,72,33,105,528213,564726,10515,3070,3682954,1106526,4789481
2019-06-26,2019,6,26,chokepoint6,Strait of Hormuz,16,14,7,2,66,39,105,686257,433669,55110,3070,4092980,1178107,5271088
2019-06-27,2019,6,27,chokepoint6,Strait of Hormuz,19,16,7,1,62,43,105,647274,464525,23312,0,2469967,1135112,3605079
2019-06-28,2019,6,28,chokepoint6,Strait of Hormuz,14,19,3,2,51,38,89,521951,718525,3121,0,2885083,1243597,4128681
2019-06-29,2019,6,29,chokepoint6,Strait of Hormuz,8,9,5,0,51,22,73,294672,219986,30374,0,1907403,545033,2452436
2019-06-30,2019,6,30,chokepoint6,Strait of Hormuz,21,22,3,3,60,49,109,749402,675347,8211,6952,3635835,1439914,5075749
2019-07-01,2019,7,1,chokepoint6,Strait of Hormuz,21,20,2,4,68,47,115,726295,526712,4243,13516,3039789,1270767,4310557
2019-07-02,2019,7,2,chokepoint6,Strait of Hormuz,15,13,12,2,49,42,91,502047,448394,23780,341,2259883,974563,3234447
2019-07-03,2019,7,3,chokepoint6,Strait of Hormuz,17,20,4,4,72,45,117,466629,722969,59088,464,3457039,1249151,4706191
2019-07-04,2019,7,4,chokepoint6,Strait of Hormuz,22,29,4,2,66,57,123,782998,1070701,29059,464,4561503,1883223,6444727
2019-07-05,2019,7,5,chokepoint6,Strait of Hormuz,11,15,4,4,57,34,91,314144,424793,21414,341,3012423,760693,3773116
2019-07-06,2019,7,6,chokepoint6,Strait of Hormuz,23,27,6,1,65,57,122,762779,751392,56531,0,2163920,1570703,3734624
2019-07-07,2019,7,7,chokepoint6,Strait of Hormuz,16,23,5,2,53,46,99,397016,725628,75980,5034,2504246,1203659,3707905
2019-07-08,2019,7,8,chokepoint6,Strait of Hormuz,12,14,9,3,58,38,96,383404,285870,30041,8663,2111928,707980,2819909
2019-07-09,2019,7,9,chokepoint6,Strait of Hormuz,6,18,5,3,43,32,75,164252,328260,18146,2973,1282870,513632,1796502
2019-07-10,2019,7,10,chokepoint6,Strait of Hormuz,7,15,0,3,41,25,66,131390,358115,0,0,2279959,489506,2769466
2019-07-11,2019,7,11,chokepoint6,Strait of Hormuz,14,19,4,4,53,41,94,472474,492186,38000,15914,2079273,1018575,3097849
2019-07-12,2019,7,12,chokepoint6,Strait of Hormuz,18,12,9,2,67,41,108,625723,293413,31513,8064,3731479,958714,4690194
2019-07-13,2019,7,13,chokepoint6,Strait of Hormuz,12,12,5,2,40,31,71,511818,292668,26829,0,1869238,831316,2700554
2019-07-14,2019,7,14,chokepoint6,Strait of Hormuz,12,20,8,3,46,43,89,403092,680545,70468,6153,1893490,1160259,3053750
2019-07-15,2019,7,15,chokepoint6,Strait of Hormuz,18,18,6,2,54,44,98,513631,804125,17061,289,2617907,1335108,3953015
2019-07-16,2019,7,16,chokepoint6,Strait of Hormuz,11,19,6,3,54,39,93,355811,559695,70067,5226,2898117,990800,3888918
2019-07-17,2019,7,17,chokepoint6,Strait of Hormuz,16,13,4,3,49,36,85,465617,584284,11311,1952,2325295,1063166,3388461
2019-07-18,2019,7,18,chokepoint6,Strait of Hormuz,12,15,4,2,50,33,83,448093,162798,43550,2013,2365864,656455,3022320
2019-07-19,2019,7,19,chokepoint6,Strait of Hormuz,14,11,6,0,47,31,78,438536,229765,12766,0,2563347,681068,3244415
2019-07-20,2019,7,20,chokepoint6,Strait of Hormuz,11,13,5,1,38,30,68,357452,213520,20447,4635,2362424,596054,2958479
2019-07-21,2019,7,21,chokepoint6,Strait of Hormuz,13,19,5,4,60,41,101,448321,490242,11981,6429,2550539,956974,3507513
2019-07-22,2019,7,22,chokepoint6,Strait of Hormuz,21,15,1,6,56,43,99,535719,501171,0,2614,3022612,1039505,4062118
