date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity
2020-03-24,2020,3,24,chokepoint6,Strait of Hormuz,10,13,3,2,38,28,66,466318,641213,14821,5226,1080223,1127580,2207803
2020-03-25,2020,3,25,chokepoint6,Strait of Hormuz,7,10,2,0,26,19,45,284187,326280,4237,0,395355,614705,1010060
2020-03-26,2020,3,26,chokepoint6,Strait of Hormuz,10,15,4,1,47,30,77,280764,566750,12179,0,2851721,859694,3711416
2020-03-27,2020,3,27,chokepoint6,Strait of Hormuz,7,10,2,0,30,19,49,225958,275658,4183,0,1431649,505800,1937449
2020-03-28,2020,3,28,chokepoint6,Strait of Hormuz,13,13,3,2,46,31,77,442021,418627,12300,3150,1921984,876100,2798084
2020-03-29,2020,3,29,chokepoint6,Strait of Hormuz,4,4,1,1,20,10,30,159792,58242,14813,2415,1214031,235264,1449295
2020-03-30,2020,3,30,chokepoint6,Strait of Hormuz,6,4,2,2,37,14,51,199092,0,7046,6085,1411251,212224,1623476
2020-03-31,2020,3,31,chokepoint6,Strait of Hormuz,8,14,3,3,43,28,71,303455,674643,13969,0,1977512,992068,2969581
2020-04-01,2020,4,1,chokepoint6,Strait of Hormuz,11,13,3,1,35,28,63,336362,490686,0,0,2754694,827048,3581742
2020-04-02,2020,4,2,chokepoint6,Strait of Hormuz,14,13,7,0,57,34,91,369432,513874,42103,0,3408668,925410,4334079
2020-04-03,2020,4,3,chokepoint6,Strait of Hormuz,15,13,3,2,61,33,94,460917,461766,22909,0,3713785,945593,4659379
2020-04-04,2020,4,4,chokepoint6,Strait of Hormuz,11,11,1,4,48,27,75,315238,344699,31668,8468,2581365,700074,3281439
2020-04-05,2020,4,5,chokepoint6,Strait of Hormuz,14,16,6,0,64,36,100,368907,276399,37442,0,4155621,682749,4838371
2020-04-06,2020,4,6,chokepoint6,Strait of Hormuz,14,15,3,3,59,35,94,645219,703337,9421,2013,2617130,1359992,3977123
2020-04-07,2020,4,7,chokepoint6,Strait of Hormuz,14,20,4,2,47,40,87,467723,628526,14104,4419,1088076,1114774,2202850
2020-04-08,2020,4,8,chokepoint6,Strait of Hormuz,21,12,7,1,52,41,93,496224,420960,31978,0,2849033,949162,3798196
2020-04-09,2020,4,9,chokepoint6,Strait of Hormuz,12,12,2,2,40,28,68,316159,419897,10150,2013,3708351,748221,4456573
2020-04-10,2020,4,10,chokepoint6,Strait of Hormuz,10,10,6,1,45,27,72,338194,541022,13238,0,1586970,892455,2479426
2020-04-11,2020,4,11,chokepoint6,Strait of Hormuz,9,14,2,2,37,27,64,453338,632803,11587,0,2137392,1097729,3235121
2020-04-12,2020,4,12,chokepoint6,Strait of Hormuz,6,12,0,0,41,18,59,288720,538940,0,0,2272902,827660,3100563
2020-04-13,2020,4,13,chokepoint6,Strait of Hormuz,11,8,0,1,51,20,71,301952,173303,0,0,3018191,475255,3493447
2020-04-14,2020,4,14,chokepoint6,Strait of Hormuz,2,10,2,1,23,15,38,33280,295786,5340,0,2222670,334407,2557078
2020-04-15,2020,4,15,chokepoint6,Strait of Hormuz,10,11,4,2,39,27,66,474669,394736,22827,4346,1864922,896580,2761502
2020-04-16,2020,4,16,chokepoint6,Strait of Hormuz,7,10,2,0,60,19,79,290594,376903,4714,0,2272384,672212,2944596
2020-04-17,2020,4,17,chokepoint6,Strait of Hormuz,10,10,3,3,49,26,75,231052,636663,13351,0,2962442,881067,3843509
2020-04-18,2020,4,18,chokepoint6,Strait of Hormuz,17,12,0,2,44,31,75,662690,569326,0,0,1991310,1232016,3223326
2020-04-19,2020,4,19,chokepoint6,Strait of Hormuz,14,16,1,2,48,33,81,537454,543250,35314,0,2743536,1116019,3859555
2020-04-20,2020,4,20,chokepoint6,Strait of Hormuz,8,9,2,1,42,20,62,298712,302352,0,0,2576666,601064,3177731
2020-04-21,2020,4,21,chokepoint6,Strait of Hormuz,5,13,4,2,55,24,79,213046,543215,16157,1672,3590848,774090,4364939
2020-04-22,2020,4,22,chokepoint6,Strait of Hormuz,12,12,7,2,41,33,74,496394,557590,24072,0,442102,1078058,1520160
2020-04-23,2020,4,23,chokepoint6,Strait of Hormuz,10,11,4,4,55,29,84,277860,495504,16299,10317,2152336,799982,2952319
2020-04-24,2020,4,24,chokepoint6,Strait of Hormuz,14,12,4,3,56,33,89,562900,449397,17210,18086,3057227,1047594,4104822
2020-04-25,2020,4,25,chokepoint6,Strait of Hormuz,9,13,8,1,58,31,89,617701,271714,41607,3629,2929686,934652,3864339
2020-04-26,2020,4,26,chokepoint6,Strait of Hormuz,9,15,9,0,53,33,86,415236,428722,35191,0,2489744,879151,3368896
2020-04-27,2020,4,27,chokepoint6,Strait of Hormuz,8,8,5,1,48,22,70,299274,98849,9499,4538,1902741,412161,2314902
2020-04-28,2020,4,28,chokepoint6,Strait of Hormuz,10,13,7,2,44,32,76,461545,459870,48335,8049,2355980,977802,3333782
2020-04-29,2020,4,29,chokepoint6,Strait of Hormuz,15,10,4,0,37,29,66,486395,251475,25474,0,2203418,763344,2966763
2020-04-30,2020,4,30,chokepoint6,Strait of Hormuz,10,13,6,1,30,30,60,380781,297074,35736,0,2014176,713591,2727768
2020-05-01,2020,5,1,chokepoint6,Strait of Hormuz,4,10,2,6,33,22,55,93447,279348,7186,2734,3290667,382717,3673384
2020-05-02,2020,5,2,chokepoint6,Strait of Hormuz,10,13,2,0,49,25,74,409369,359688,2851,0,3370444,771909,4142353
2020-05-03,2020,5,3,chokepoint6,Strait of Hormuz,14,13,2,0,46,29,75,541220,683527,17383,0,3292385,1242131,4534517
2020-05-04,2020,5,4,chokepoint6,Strait of Hormuz,20,13,7,1,62,41,103,496603,263741,34814,2577,3206398,797737,4004135
2020-05-05,2020,5,5,chokepoint6,Strait of Hormuz,15,15,1,1,51,32,83,681356,494275,324,0,2526964,1175956,3702920
2020-05-06,2020,5,6,chokepoint6,Strait of Hormuz,12,13,3,1,51,29,80,477730,635722,0,1167,3223439,1114620,4338059
2020-05-07,2020,5,7,chokepoint6,Strait of Hormuz,14,20,5,1,53,40,93,479664,595053,3750,1167,1411800,1079635,2491435
2020-05-08,2020,5,8,chokepoint6,Strait of Hormuz,13,14,6,4,63,37,100,628782,484182,37284,2013,3303929,1152263,4456192
2020-05-09,2020,5,9,chokepoint6,Strait of Hormuz,15,25,4,1,61,45,106,631248,742165,24869,0,2936843,1398282,4335126
2020-05-10,2020,5,10,chokepoint6,Strait of Hormuz,15,21,8,5,45,49,94,461949,649039,12597,2013,2313145,1125600,3438745
2020-05-11,2020,5,11,chokepoint6,Strait of Hormuz,14,19,4,3,67,40,107,548606,517426,21678,11224,3843383,1098935,4942319
2020-05-12,2020,5,12,chokepoint6,Strait of Hormuz,15,10,4,2,67,31,98,384813,344781,13116,0,2821089,742710,3563800
2020-05-13,2020,5,13,chokepoint6,Strait of Hormuz,11,15,3,4,62,33,95,417408,458478,10908,0,3270312,886795,4157107
2020-05-14,2020,5,14,chokepoint6,Strait of Hormuz,21,14,5,4,65,44,109,644316,653935,41087,7851,2757364,1347191,4104555
2020-05-15,2020,5,15,chokepoint6,Strait of Hormuz,11,18,6,1,57,36,93,416584,735475,57027,4986,2861743,1214073,4075816
2020-05-16,2020,5,16,chokepoint6,Strait of Hormuz,14,18,5,1,62,38,100,646239,552318,31576,0,2861915,1230133,4092049
2020-05-17,2020,5,17,chokepoint6,Strait of Hormuz,11,18,8,1,56,38,94,395919,745361,38161,0,3049605,1179442,4229048
2020-05-18,2020,5,18,chokepoint6,Strait of Hormuz,13,5,2,1,47,21,68,452209,123479,4302,3586,2310357,583578,2893936
2020-05-19,2020,5,19,chokepoint6,Strait of Hormuz,17,17,4,4,60,42,102,699129,473059,33052,8711,2930228,1213952,4144181
2020-05-20,2020,5,20,chokepoint6,Strait of Hormuz,21,23,6,4,53,54,107,663521,989984,30524,16870,2831862,1700901,4532764
2020-05-21,2020,5,21,chokepoint6,Strait of Hormuz,13,18,3,3,59,37,96,202758,408953,6401,3367,4356089,621481,4977571
2020-05-22,2020,5,22,chokepoint6,Strait of Hormuz,12,6,2,2,36,22,58,566212,206932,4820,4867,2714092,782833,3496926
2020-05-23,2020,5,23,chokepoint6,Strait of Hormuz,11,15,4,3,36,33,69,495584,538604,11552,9778,1827965,1055519,2883484
2020-05-24,2020,5,24,chokepoint6,Strait of Hormuz,15,14,9,2,52,40,92,298891,552944,30197,5436,2327298,887469,3214768
2020-05-25,2020,5,25,chokepoint6,Strait of Hormuz,14,18,7,2,46,41,87,376395,691681,25241,3694,1577596,1097012,2674609
2020-05-26,2020,5,26,chokepoint6,Strait of Hormuz,10,12,3,2,39,27,66,449098,304979,9295,341,1627684,763714,2391399
2020-05-27,2020,5,27,chokepoint6,Strait of Hormuz,10,10,3,4,38,27,65,412605,153885,40389,5038,2150035,611918,2761954
2020-05-28,2020,5,28,chokepoint6,Strait of Hormuz,16,13,4,1,60,34,94,392087,164781,75576,0,2844042,632445,3476487
2020-05-29,2020,5,29,chokepoint6,Strait of Hormuz,13,17,2,2,62,34,96,512472,392469,4326,760,3444934,910028,4354963
2020-05-30,2020,5,30,chokepoint6,Strait of Hormuz,13,17,4,2,42,36,78,381060,764759,16061,6223,1647262,1168104,2815367
2020-05-31,2020,5,31,chokepoint6,Strait of Hormuz,13,12,9,1,44,35,79,509419,300643,67600,2889,1823120,880552,2703672
2020-06-01,2020,6,1,chokepoint6,Strait of Hormuz,13,18,3,3,51,37,88,407278,833503,26914,3230,2584164,1270927,3855091
2020-06-02,2020,6,2,chokepoint6,Strait of Hormuz,14,21,4,3,62,42,104,468367,834984,20247,341,2931877,1323939,4255817
2020-06-03,2020,6,3,chokepoint6,Strait of Hormuz,18,14,5,1,56,38,94,654637,304881,12597,0,2926489,972116,3898606
2020-06-04,2020,6,4,chokepoint6,Strait of Hormuz,11,15,5,2,53,33,86,429230,282662,8332,341,3430957,720566,4151524
2020-06-05,2020,6,5,chokepoint6,Strait of Hormuz,15,19,6,4,52,44,96,511055,450193,32940,6179,2783090,1000368,3783458
2020-06-06,2020,6,6,chokepoint6,Strait of Hormuz,13,15,2,1,53,31,84,280310,354299,8316,2592,2906226,645518,3551745
2020-06-07,2020,6,7,chokepoint6,Strait of Hormuz,16,16,1,3,53,36,89,586789,523354,1376,4723,2059278,1116243,3175522
2020-06-08,2020,6,8,chokepoint6,Strait of Hormuz,13,15,3,3,57,34,91,377817,555421,10907,5234,2779854,949381,3729235
2020-06-09,2020,6,9,chokepoint6,Strait of Hormuz,16,15,8,1,59,40,99,518988,399498,58987,2013,2905188,979488,3884677
2020-06-10,2020,6,10,chokepoint6,Strait of Hormuz,20,15,9,1,62,45,107,727450,580922,48549,0,3641471,1356922,4998394
2020-06-11,2020,6,11,chokepoint6,Strait of Hormuz,15,19,6,5,58,45,103,357382,537228,36279,5329,1981037,936219,2917257
2020-06-12,2020,6,12,chokepoint6,Strait of Hormuz,22,11,4,2,59,39,98,893173,170928,3676,0,3203063,1067779,4270842
2020-06-13,2020,6,13,chokepoint6,Strait of Hormuz,14,19,2,1,61,36,97,396680,578106,7506,0,3088750,982293,4071044
2020-06-14,2020,6,14,chokepoint6,Strait of Hormuz,19,24,6,1,62,50,112,344031,840275,20611,341,2974727,1205259,4179987
2020-06-15,2020,6,15,chokepoint6,Strait of Hormuz,21,21,3,2,54,47,101,510831,874676,16087,760,2293924,1402354,3696279
2020-06-16,2020,6,16,chokepoint6,Strait of Hormuz,19,16,8,0,60,43,103,698764,422455,38660,0,2593453,1159880,3753333
2020-06-17,2020,6,17,chokepoint6,Strait of Hormuz,25,16,6,0,64,47,111,847941,531799,45006,0,2615259,1424747,4040007
2020-06-18,2020,6,18,chokepoint6,Strait of Hormuz,14,15,4,2,58,35,93,475466,726408,38464,0,3079426,1240338,4319765
2020-06-19,2020,6,19,chokepoint6,Strait of Hormuz,27,17,6,3,62,53,115,963796,601249,45544,0,3213562,1610590,4824153
2020-06-20,2020,6,20,chokepoint6,Strait of Hormuz,15,14,5,3,68,37,105,530074,580450,28282,7999,2679328,1146807,3826135
2020-06-21,2020,6,21,chokepoint6,Strait of Hormuz,18,13,3,2,68,36,104,664922,562091,3108,2562,3410573,1232685,4643258
2020-06-22,2020,6,22,chokepoint6,Strait of Hormuz,15,14,5,1,68,35,103,707977,719798,6738,3750,2874823,1438265,4313088
2020-06-23,2020,6,23,chokepoint6,Strait of Hormuz,13,16,3,3,72,35,107,571445,375637,7986,1537,2887796,956606,3844403
2020-06-24,2020,6,24,chokepoint6,Strait of Hormuz,18,16,5,2,56,41,97,675910,449528,39749,3788,2870837,1168976,4039814
2020-06-25,2020,6,25,chokepoint6,Strait of Hormuz,11,12,5,3,58,31,89,167819,456400,24419,341,3808694,648979,4457674
2020-06-26,2020,6,26,chokepoint6,Strait of Hormuz,10,13,1,3,61,27,88,345698,481781,7338,0,2464042,834818,3298860
2020-06-27,2020,6,27,chokepoint6,Strait of Hormuz,17,10,4,0,54,31,85,659858,242327,46226,0,1500397,948412,2448810
2020-06-28,2020,6,28,chokepoint6,Strait of Hormuz,15,13,5,2,53,35,88,610440,422001,21839,0,2048560,1054281,3102842
2020-06-29,2020,6,29,chokepoint6,Strait of Hormuz,21,19,6,1,71,47,118,808808,630734,14655,0,1850076,1454198,3304275
2020-06-30,2020,6,30,chokepoint6,Strait of Hormuz,16,18,11,0,58,45,103,391037,671908,85681,0,1705246,1148627,2853873
2020-07-01,2020,7,1,chokepoint6,Strait of Hormuz,12,11,4,3,29,30,59,367133,365953,40528,7743,1023483,781358,1804842
2020-07-02,2020,7,2,chokepoint6,Strait of Hormuz,13,15,7,3,50,38,88,510620,556754,17102,0,2415300,1084477,3499777
2020-07-03,2020,7,3,chokepoint6,Strait of Hormuz,17,20,5,0,58,42,100,491839,808353,30742,0,3047325,1330935,4378261
2020-07-04,2020,7,4,chokepoint6,Strait of Hormuz,16,22,5,2,52,45,97,365694,682089,14459,11531,3638090,1073775,4711865
2020-07-05,2020,7,5,chokepoint6,Strait of Hormuz,14,14,9,1,65,38,103,394518,287889,60084,0,2659682,742492,3402175
2020-07-06,2020,7,6,chokepoint6,Strait of Hormuz,14,15,3,1,56,33,89,561120,597368,16349,0,2899043,1174838,4073881
2020-07-07,2020,7,7,chokepoint6,Strait of Hormuz,14,14,8,2,76,38,114,456272,396552,82551,5310,3809701,940687,4750388
2020-07-08,2020,7,8,chokepoint6,Strait of Hormuz,16,9,5,1,58,31,89,556264,323086,32865,0,2494574,912217,3406791
2020-07-09,2020,7,9,chokepoint6,Strait of Hormuz,22,17,2,1,58,42,100,761548,491507,17217,0,2406837,1270274,3677111
2020-07-10,2020,7,10,chokepoint6,Strait of Hormuz,11,14,4,3,55,32,87,577582,654245,1656,0,3209503,1233484,4442988
2020-07-11,2020,7,11,chokepoint6,Strait of Hormuz,15,16,5,3,68,39,107,314262,633579,27768,8347,4553442,983957,5537400
2020-07-12,2020,7,12,chokepoint6,Strait of Hormuz,16,13,6,0,61,35,96,467803,246854,28633,0,2711370,743292,3454662
2020-07-13,2020,7,13,chokepoint6,Strait of Hormuz,15,18,4,3,54,40,94,463177,388809,10927,8769,2483945,871683,3355628
2020-07-14,2020,7,14,chokepoint6,Strait of Hormuz,12,19,4,2,65,37,102,435804,657897,14389,0,3255715,1108091,4363807
2020-07-15,2020,7,15,chokepoint6,Strait of Hormuz,13,16,1,0,57,30,87,356667,791182,0,0,3162495,1147850,4310345
2020-07-16,2020,7,16,chokepoint6,Strait of Hormuz,15,12,4,1,58,32,90,411949,564285,36021,0,2411015,1012256,3423271
2020-07-17,2020,7,17,chokepoint6,Strait of Hormuz,7,17,3,1,53,28,81,253730,678383,39411,2996,2716301,974521,3690822
2020-07-18,2020,7,18,chokepoint6,Strait of Hormuz,15,24,3,1,65,43,108,521601,623919,6682,0,2614198,1152202,3766400
2020-07-19,2020,7,19,chokepoint6,Strait of Hormuz,10,18,3,1,50,32,82,182336,456279,20727,0,2187686,659343,2847029
2020-07-20,2020,7,20,chokepoint6,Strait of Hormuz,17,16,3,2,65,38,103,905673,406989,4478,0,2477489,1317140,3794630
2020-07-21,2020,7,21,chokepoint6,Strait of Hormuz,12,9,6,1,58,28,86,363428,295780,11363,4912,2725129,675484,3400614
2020-07-22,2020,7,22,chokepoint6,Strait of Hormuz,12,13,6,3,47,34,81,456564,242809,23085,12486,1390947,734946,2125893
2020-07-23,2020,7,23,chokepoint6,Strait of Hormuz,14,9,1,2,51,26,77,443234,159303,2504,7573,2714641,612616,3327257
2020-07-24,2020,7,24,chokepoint6,Strait of Hormuz,10,20,5,3,71,38,109,401530,393812,26629,1260,3440220,823232,4263453
2020-07-25,2020,7,25,chokepoint6,Strait of Hormuz,15,16,6,1,64,38,102,420982,517281,28367,0,3175758,966632,4142390
2020-07-26,2020,7,26,chokepoint6,Strait of Hormuz,23,14,7,2,68,46,114,796446,429104,53283,6328,2188540,1285164,3473705
2020-07-27,2020,7,27,chokepoint6,Strait of Hormuz,11,16,4,4,55,35,90,285132,583017,50263,3477,2201687,921891,3123578
2020-07-28,2020,7,28,chokepoint6,Strait of Hormuz,10,14,4,4,67,32,99,315939,494300,14821,557,2876609,825618,3702228
2020-07-29,2020,7,29,chokepoint6,Strait of Hormuz,24,16,4,1,54,45,99,742398,659836,15036,0,2830919,1417271,4248190
2020-07-30,2020,7,30,chokepoint6,Strait of Hormuz,13,15,5,2,69,35,104,277341,731104,17462,4009,3230564,1029918,4260483
2020-07-31,2020,7,31,chokepoint6,Strait of Hormuz,10,14,4,1,51,29,80,405732,449761,7825,844,1634227,864163,2498391
2020-08-01,2020,8,1,chokepoint6,Strait of Hormuz,11,17,6,2,59,36,95,273585,483009,19407,0,2436115,776001,3212117
2020-08-02,2020,8,2,chokepoint6,Strait of Hormuz,17,16,4,2,59,39,98,606454,583437,9026,2236,3020311,1201154,4221465
2020-08-03,2020,8,3,chokepoint6,Strait of Hormuz,12,17,4,0,71,33,104,544389,457468,1950,0,3646630,1003808,4650438
2020-08-04,2020,8,4,chokepoint6,Strait of Hormuz,16,11,3,2,59,32,91,510318,422354,37320,1833,2776502,971826,3748328
2020-08-05,2020,8,5,chokepoint6,Strait of Hormuz,14,20,4,2,57,40,97,657871,676723,40551,3256,3544949,1378403,4923352
2020-08-06,2020,8,6,chokepoint6,Strait of Hormuz,15,16,4,3,44,38,82,370055,309364,6724,0,1568151,686143,2254295
2020-08-07,2020,8,7,chokepoint6,Strait of Hormuz,13,14,8,2,63,37,100,591306,498309,58550,3496,4065080,1151663,5216744
2020-08-08,2020,8,8,chokepoint6,Strait of Hormuz,10,15,5,0,67,30,97,481343,426612,34868,0,2855961,942824,3798785
2020-08-09,2020,8,9,chokepoint6,Strait of Hormuz,15,9,4,2,41,30,71,325417,128359,4076,0,1196321,457852,1654174
2020-08-10,2020,8,10,chokepoint6,Strait of Hormuz,13,17,5,2,57,37,94,484991,578636,8465,6223,1855370,1078317,2933688
2020-08-11,2020,8,11,chokepoint6,Strait of Hormuz,12,14,2,1,59,29,88,398950,492020,4839,3944,2918024,899754,3817778
2020-08-12,2020,8,12,chokepoint6,Strait of Hormuz,10,16,3,0,67,29,96,267185,733634,8347,0,3160769,1009167,4169936
2020-08-13,2020,8,13,chokepoint6,Strait of Hormuz,18,15,7,3,56,43,99,677366,358732,41925,7962,2679486,1085987,3765473
2020-08-14,2020,8,14,chokepoint6,Strait of Hormuz,12,27,9,0,64,48,112,382920,819323,50943,0,2902456,1253187,4155644
2020-08-15,2020,8,15,chokepoint6,Strait of Hormuz,11,21,5,0,66,37,103,283274,566272,56076,0,2288695,905623,3194318
2020-08-16,2020,8,16,chokepoint6,Strait of Hormuz,18,12,3,2,69,35,104,569655,206613,0,0,4361759,776269,5138028
2020-08-17,2020,8,17,chokepoint6,Strait of Hormuz,14,19,5,2,57,40,97,517791,622551,29405,2013,1749611,1171761,2921373
2020-08-18,2020,8,18,chokepoint6,Strait of Hormuz,18,18,6,2,66,44,110,807927,441864,11902,5436,3507337,1267130,4774468
2020-08-19,2020,8,19,chokepoint6,Strait of Hormuz,13,20,4,2,55,39,94,542047,648797,27552,6481,2564525,1224878,3789404
2020-08-20,2020,8,20,chokepoint6,Strait of Hormuz,14,21,6,3,51,44,95,400874,629860,29761,10034,2623187,1070531,3693718
2020-08-21,2020,8,21,chokepoint6,Strait of Hormuz,15,14,4,0,57,33,90,550186,587115,48568,0,2472426,1185869,3658296
2020-08-22,2020,8,22,chokepoint6,Strait of Hormuz,12,17,6,0,49,35,84,236496,769769,47280,0,2828251,1053546,3881797
2020-08-23,2020,8,23,chokepoint6,Strait of Hormuz,16,18,5,0,62,39,101,575554,333080,74163,0,2763762,982798,3746560
2020-08-24,2020,8,24,chokepoint6,Strait of Hormuz,10,18,1,0,52,29,81,452857,413613,3138,0,1410046,869609,2279655
2020-08-25,2020,8,25,chokepoint6,Strait of Hormuz,8,10,3,0,61,21,82,255291,358772,6090,0,2380316,620155,3000471
2020-08-26,2020,8,26,chokepoint6,Strait of Hormuz,9,15,5,1,55,30,85,561962,598517,14880,5479,2259403,1180840,3440244
2020-08-27,2020,8,27,chokepoint6,Strait of Hormuz,14,18,6,4,52,42,94,614630,713532,31025,11427,2018122,1370616,3388738
2020-08-28,2020,8,28,chokepoint6,Strait of Hormuz,19,18,3,0,45,40,85,891121,453053,0,0,2379759,1344175,3723934
2020-08-29,2020,8,29,chokepoint6,Strait of Hormuz,21,18,3,3,50,45,95,834866,734616,1128,7379,2210951,1577990,3788941
2020-08-30,2020,8,30,chokepoint6,Strait of Hormuz,19,21,7,4,53,51,104,667405,607029,38630,14146,2242871,1327211,3570083
2020-08-31,2020,8,31,chokepoint6,Strait of Hormuz,17,17,6,1,53,41,94,517730,456648,64847,0,2997298,1039226,4036525
2020-09-01,2020,9,1,chokepoint6,Strait of Hormuz,19,15,2,3,62,39,101,616715,723957,5849,4188,2924702,1350710,4275413
2020-09-02,2020,9,2,chokepoint6,Strait of Hormuz,15,26,6,1,54,48,102,505226,1037894,28516,0,2710475,1571638,4282113
2020-09-03,2020,9,3,chokepoint6,Strait of Hormuz,13,20,9,3,53,45,98,542743,665388,60450,0,2449725,1268582,3718308
2020-09-04,2020,9,4,chokepoint6,Strait of Hormuz,14,11,3,1,66,29,95,420031,461316,13755,3203,3751722,898308,4650030
2020-09-05,2020,9,5,chokepoint6,Strait of Hormuz,16,14,2,3,59,35,94,679710,294748,2175,4912,1805844,981547,2787392
2020-09-06,2020,9,6,chokepoint6,Strait of Hormuz,20,15,3,1,47,39,86,516224,352773,46471,3277,1654258,918747,2573006
2020-09-07,2020,9,7,chokepoint6,Strait of Hormuz,19,26,3,0,72,48,120,788963,665825,19082,0,2736829,1473871,4210700
2020-09-08,2020,9,8,chokepoint6,Strait of Hormuz,15,19,3,3,62,40,102,481223,559586,3324,2215,2153078,1046350,3199428
2020-09-09,2020,9,9,chokepoint6,Strait of Hormuz,14,26,7,3,54,50,104,544107,899540,13373,151,2960213,1457172,4417386
2020-09-10,2020,9,10,chokepoint6,Strait of Hormuz,18,23,6,4,47,51,98,582594,806213,10372,8254,3015357,1407434,4422792
2020-09-11,2020,9,11,chokepoint6,Strait of Hormuz,9,19,5,5,69,38,107,301410,924316,46922,8970,2510780,1281619,3792400
2020-09-12,2020,9,12,chokepoint6,Strait of Hormuz,18,18,9,2,66,47,113,522474,421253,36386,8709,4062079,988823,5050903
2020-09-13,2020,9,13,chokepoint6,Strait of Hormuz,12,17,2,3,68,34,102,374683,560168,15549,7053,2923009,957455,3880465
2020-09-14,2020,9,14,chokepoint6,Strait of Hormuz,15,14,1,0,47,30,77,427230,392374,7381,0,1371454,826986,2198440
2020-09-15,2020,9,15,chokepoint6,Strait of Hormuz,12,11,1,0,48,24,72,396913,407412,9133,0,2652574,813459,3466034
2020-09-16,2020,9,16,chokepoint6,Strait of Hormuz,17,19,7,1,53,44,97,500684,797958,6380,0,2043860,1305023,3348883
2020-09-17,2020,9,17,chokepoint6,Strait of Hormuz,22,18,6,1,65,47,112,474986,528222,28309,3106,4343020,1034624,5377645
2020-09-18,2020,9,18,chokepoint6,Strait of Hormuz,20,16,6,1,55,43,98,415265,537464,16228,0,2361002,968957,3329960
2020-09-19,2020,9,19,chokepoint6,Strait of Hormuz,22,27,7,2,50,58,108,678451,476846,43879,1729,1402848,1200907,2603755
2020-09-20,2020,9,20,chokepoint6,Strait of Hormuz,16,16,6,3,68,41,109,533008,198626,47511,1729,3148703,780875,3929579
2020-09-21,2020,9,21,chokepoint6,Strait of Hormuz,25,26,8,1,65,60,125,916963,917890,23185,0,2918355,1858038,4776394
2020-09-22,2020,9,22,chokepoint6,Strait of Hormuz,15,17,5,2,53,39,92,349807,471817,31662,0,2547620,853287,3400907
2020-09-23,2020,9,23,chokepoint6,Strait of Hormuz,13,16,5,2,57,36,93,334038,453377,31962,0,3037683,819379,3857062
2020-09-24,2020,9,24,chokepoint6,Strait of Hormuz,19,18,4,3,67,44,111,792087,723101,49249,3326,2834085,1567766,4401852
2020-09-25,2020,9,25,chokepoint6,Strait of Hormuz,14,22,4,2,48,42,90,353595,842211,14739,2215,2445599,1212762,3658361
2020-09-26,2020,9,26,chokepoint6,Strait of Hormuz,22,23,3,1,51,49,100,773664,1099352,7962,0,2065593,1880980,3946574
2020-09-27,2020,9,27,chokepoint6,Strait of Hormuz,20,26,5,1,74,52,126,826297,857443,28187,4620,2805574,1716547,4522122
2020-09-28,2020,9,28,chokepoint6,Strait of Hormuz,21,23,10,1,49,55,104,517632,703192,25686,9416,3102769,1255928,4358698
2020-09-29,2020,9,29,chokepoint6,Strait of Hormuz,14,17,9,1,51,41,92,516961,471081,44339,0,2312498,1032382,3344881
2020-09-30,2020,9,30,chokepoint6,Strait of Hormuz,21,17,6,0,57,44,101,676548,781877,35949,0,2210957,1494375,3705333
2020-10-01,2020,10,1,chokepoint6,Strait of Hormuz,17,13,2,2,49,34,83,569638,454070,6433,1524,2035791,1031666,3067458
2020-10-02,2020,10,2,chokepoint6,Strait of Hormuz,16,21,2,4,66,43,109,452878,552336,5638,0,3490867,1010853,4501720
2020-10-03,2020,10,3,chokepoint6,Strait of Hormuz,19,22,3,3,77,47,124,419521,827238,7881,0,4204042,1254641,5458684
2020-10-04,2020,10,4,chokepoint6,Strait of Hormuz,16,19,3,3,57,41,98,621322,266015,41019,9912,1732171,938270,2670441
2020-10-05,2020,10,5,chokepoint6,Strait of Hormuz,16,17,2,0,43,35,78,632132,724112,3697,0,2243183,1359943,3603127
2020-10-06,2020,10,6,chokepoint6,Strait of Hormuz,14,17,6,0,82,37,119,525371,519001,9825,0,3178185,1054198,4232384
2020-10-07,2020,10,7,chokepoint6,Strait of Hormuz,17,19,6,2,69,44,113,625752,586795,8235,0,3001782,1220784,4222566
2020-10-08,2020,10,8,chokepoint6,Strait of Hormuz,24,16,6,4,70,50,120,778429,480081,29582,2763,3090717,1290856,4381574
2020-10-09,2020,10,9,chokepoint6,Strait of Hormuz,13,12,3,1,48,29,77,511342,203505,7611,2763,2883076,725222,3608298
2020-10-10,2020,10,10,chokepoint6,Strait of Hormuz,13,28,7,0,59,48,107,474094,700936,17502,0,2962167,1192533,4154700
2020-10-11,2020,10,11,chokepoint6,Strait of Hormuz,8,19,2,1,36,30,66,354400,480241,8380,2522,1584226,845544,2429771
2020-10-12,2020,10,12,chokepoint6,Strait of Hormuz,18,18,1,2,48,39,87,631484,630549,0,7993,1643434,1270028,2913463
2020-10-13,2020,10,13,chokepoint6,Strait of Hormuz,15,13,0,0,46,28,74,605029,445643,0,0,1689976,1050673,2740649
